Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Data Url
1722538,ROUND,0.4,VS1,U-V,EX,EX,VG,M,4.67-4.73×2.95,782.13,https://capitalwholesalediamonds.com/product/0-4-ct-round-1176/
1783677,ROUND,0.3,SI1,K,VG,EX,VG,N,4.29-4.30×2.60,783.16,https://capitalwholesalediamonds.com/product/0-3-ct-round-5792/
1777254,ROUND,0.3,VS2,L,EX,EX,VG,F,4.32-4.35×2.62,783.65,https://capitalwholesalediamonds.com/product/0-3-ct-round-5830/
1790784,ROUND,0.3,VS1,K,VG,VG,GD,F,4.30-4.37×2.54,784.19,https://capitalwholesalediamonds.com/product/0-3-ct-round-5740/
1665768,ROUND,0.29,VS2,J,VG,VG,GD,F,4.25-4.33×2.62,785.48,https://capitalwholesalediamonds.com/product/0-29-ct-round-102/
1788926,ROUND,0.3,SI1,K,VG,EX,VG,N,4.19-4.24×2.67,788.23,https://capitalwholesalediamonds.com/product/0-3-ct-round-5787/
1789741,ROUND,0.3,VS2,K,GD,EX,GD,F,4.32-4.34×2.58,788.72,https://capitalwholesalediamonds.com/product/0-3-ct-round-5773/
1771000,ROUND,0.3,VS2,L,EX,EX,EX,F,4.28-4.30×2.67,789.74,https://capitalwholesalediamonds.com/product/0-3-ct-round-5832/
1777201,ROUND,0.3,VS1,L,EX,EX,EX,M,4.28-4.31×2.67,789.75,https://capitalwholesalediamonds.com/product/0-3-ct-round-5815/
1711926,ROUND,0.3,VS2,K,EX,EX,EX,F,4.36-4.38×2.60,792.85,https://capitalwholesalediamonds.com/product/0-3-ct-round-5778/
1764856,ROUND,0.3,SI1,K,EX,EX,EX,N,4.26-4.29×2.67,793.3,https://capitalwholesalediamonds.com/product/0-3-ct-round-5794/
1784865,ROUND,0.3,VS2,L,EX,EX,EX,F,4.26-4.28×2.68,794.3,https://capitalwholesalediamonds.com/product/0-3-ct-round-5833/
1792986,ROUND,0.3,VS2,K,VG,VG,GD,F,4.26-4.33×2.63,795.33,https://capitalwholesalediamonds.com/product/0-3-ct-round-5764/
1787662,ROUND,0.3,VS2,K,VG,EX,GD,F,4.17-4.23×2.67,795.33,https://capitalwholesalediamonds.com/product/0-3-ct-round-5767/
1784927,ROUND,0.3,SI2,G,F,VG,FR,N,4.19-4.27×2.64,798.36,https://capitalwholesalediamonds.com/product/0-3-ct-round-4896/
1772482,ROUND,0.3,SI1,K,EX,EX,VG,N,4.34-4.39×2.63,799.37,https://capitalwholesalediamonds.com/product/0-3-ct-round-5783/
1762698,ROUND,0.3,SI2,G,F,EX,VG,N,4.01-4.03×2.79,800.38,https://capitalwholesalediamonds.com/product/0-3-ct-round-4920/
1790788,ROUND,0.35,VS1,M,VG,VG,VG,N,4.34-4.42×2.83,802.34,https://capitalwholesalediamonds.com/product/0-35-ct-round-1635/
1800575,ROUND,0.35,SI1,L,EX,EX,EX,N,4.49-4.52×2.79,804.12,https://capitalwholesalediamonds.com/product/0-35-ct-round-1633/
1766724,ROUND,0.3,VS2,K,VG,EX,GD,N,4.28-4.31×2.66,804.98,https://capitalwholesalediamonds.com/product/0-3-ct-round-5776/
1787728,ROUND,0.3,SI1,K,EX,EX,EX,F,4.33-4.36×2.63,807.01,https://capitalwholesalediamonds.com/product/0-3-ct-round-5801/
1789822,ROUND,0.3,SI2,I,VG,EX,VG,F,4.25-4.31×2.67,808.53,https://capitalwholesalediamonds.com/product/0-3-ct-round-5555/
1351511,ROUND,0.19,IF,F,EX,EX,EX,F,3.73-3.71X2.27,809.02,https://capitalwholesalediamonds.com/product/0-19-ct-round-41/
1351511,ROUND,0.19,IF,F,EX,EX,EX,F,3.73-3.71X2.27,809.02,https://capitalwholesalediamonds.com/product/0-19-ct-round-69/
1799521,ROUND,0.3,VS2,L,EX,EX,EX,F,4.36-4.38×2.65,809.51,https://capitalwholesalediamonds.com/product/0-3-ct-round-5831/
1786351,ROUND,0.3,VVS2,L,EX,EX,EX,M,4.32-4.34×2.67,809.53,https://capitalwholesalediamonds.com/product/0-3-ct-round-5807/
1798186,ROUND,0.35,VS2,N,EX,EX,EX,F,4.50-4.53×2.82,810.63,https://capitalwholesalediamonds.com/product/0-35-ct-round-1846/
1799517,ROUND,0.3,VS2,K,GD,VG,GD,N,4.09-4.15×2.70,811.57,https://capitalwholesalediamonds.com/product/0-3-ct-round-5779/
